Time,Queue Size,Event
2.992000000000002,60,size
2.994000000000002,61,size
3.000000000000002,60,size
3.0080000000000022,59,size
3.0160000000000022,58,size
3.018000000000002,59,size
3.0240000000000022,58,size
3.0320000000000022,57,size
3.0400000000000023,56,size
3.0480000000000023,55,size
3.0560000000000023,54,size
3.0640000000000023,53,size
3.0720000000000023,52,size
3.0800000000000023,51,size
3.0880000000000023,50,size
3.0960000000000023,49,size
3.1040000000000023,48,size
3.1120000000000023,47,size
3.1200000000000023,46,size
3.1280000000000023,45,size
3.1360000000000023,44,size
3.1440000000000023,43,size
3.1520000000000024,42,size
3.1600000000000024,41,size
3.1680000000000024,40,size
3.1760000000000024,39,size
3.1840000000000024,38,size
3.1920000000000024,37,size
3.2000000000000024,36,size
3.2080000000000024,35,size
3.2160000000000024,34,size
3.2240000000000024,33,size
3.2320000000000024,32,size
3.2400000000000024,31,size
3.2480000000000024,30,size
3.2560000000000024,29,size
3.2640000000000025,28,size
3.2720000000000025,27,size
3.2800000000000025,26,size
3.2880000000000025,25,size
3.2960000000000025,24,size
3.3040000000000025,23,size
3.3120000000000025,22,size
3.3200000000000025,21,size
3.3280000000000025,20,size
3.3360000000000025,19,size
3.3440000000000025,18,size
3.3520000000000025,17,size
3.3600000000000025,16,size
3.3680000000000025,15,size
3.3760000000000026,14,size
3.3840000000000026,13,size
3.3920000000000026,12,size
3.4000000000000026,11,size
3.4080000000000026,10,size
3.4100000000000024,11,size
3.4100000000000024,12,size
3.4100000000000024,13,size
3.4100000000000024,14,size
3.4100000000000024,15,size
3.4160000000000026,14,size
3.4180000000000024,15,size
3.4240000000000026,14,size
3.4260000000000024,15,size
3.4320000000000026,14,size
3.4340000000000024,15,size
3.4400000000000026,14,size
3.4420000000000024,15,size
3.4480000000000026,14,size
3.4500000000000024,15,size
3.4560000000000026,14,size
3.4580000000000024,15,size
3.4640000000000026,14,size
3.4660000000000024,15,size
3.4720000000000026,14,size
3.4740000000000024,15,size
3.4800000000000026,14,size
3.4820000000000024,15,size
3.4880000000000027,14,size
3.4900000000000024,15,size
3.4960000000000027,14,size
3.5040000000000027,13,size
3.5120000000000027,12,size
3.5140000000000025,13,size
3.5200000000000027,12,size
3.5280000000000027,11,size
3.5360000000000027,10,size
3.5440000000000027,9,size
3.5520000000000027,8,size
3.5600000000000027,7,size
3.5680000000000027,6,size
3.5760000000000027,5,size
3.5840000000000027,4,size
3.5860000000000025,5,size
3.5860000000000025,6,size
3.5920000000000027,5,size
3.5940000000000025,6,size
3.6000000000000028,5,size
3.6020000000000025,6,size
3.6080000000000028,5,size
3.6100000000000025,6,size
3.6160000000000028,5,size
3.6180000000000025,6,size
3.6240000000000028,5,size
3.632000000000003,4,size
3.640000000000003,3,size
3.6420000000000026,4,size
3.648000000000003,3,size
3.656000000000003,2,size
3.664000000000003,1,size
3.6660000000000026,2,size
3.672000000000003,1,size
3.6740000000000026,2,size
3.680000000000003,1,size
3.688000000000003,0,size
