Time,Sequence Number,Event
0.5220000000000004,131001,send
0.5220000000000004,132001,send
0.5280000000000004,66001,transmit
0.5300000000000004,66001,ack
0.5300000000000004,133001,send
0.5300000000000004,134001,send
0.5360000000000004,67001,transmit
0.5380000000000004,67001,ack
0.5380000000000004,135001,send
0.5380000000000004,136001,send
0.5440000000000004,68001,transmit
0.5460000000000004,68001,ack
0.5460000000000004,137001,send
0.5460000000000004,138001,send
0.5520000000000004,69001,transmit
0.5540000000000004,69001,ack
0.5540000000000004,139001,send
0.5540000000000004,140001,send
0.5600000000000004,70001,transmit
0.5620000000000004,70001,ack
0.5620000000000004,141001,send
0.5620000000000004,142001,send
0.5680000000000004,71001,transmit
0.5700000000000004,71001,ack
0.5700000000000004,143001,send
0.5700000000000004,144001,send
0.5760000000000004,72001,transmit
0.5780000000000004,72001,ack
0.5780000000000004,145001,send
0.5780000000000004,146001,send
0.5840000000000004,73001,transmit
0.5860000000000004,73001,ack
0.5860000000000004,147001,send
0.5860000000000004,148001,send
0.5920000000000004,74001,transmit
0.5940000000000004,74001,ack
0.5940000000000004,149001,send
0.5940000000000004,150001,send
0.6000000000000004,75001,transmit
0.6020000000000004,75001,ack
0.6020000000000004,151001,send
0.6020000000000004,152001,send
0.6080000000000004,76001,transmit
0.6100000000000004,76001,ack
0.6100000000000004,153001,send
0.6100000000000004,154001,send
0.6160000000000004,77001,transmit
0.6180000000000004,77001,ack
0.6180000000000004,155001,send
0.6180000000000004,156001,send
0.6240000000000004,78001,transmit
0.6260000000000004,78001,ack
0.6260000000000004,157001,send
0.6260000000000004,158001,send
0.6320000000000005,79001,transmit
0.6340000000000005,79001,ack
0.6340000000000005,159001,send
0.6340000000000005,160001,send
0.6400000000000005,80001,transmit
0.6420000000000005,80001,ack
0.6420000000000005,161001,send
0.6420000000000005,162001,send
0.6480000000000005,81001,transmit
0.6500000000000005,81001,ack
0.6500000000000005,163001,send
0.6500000000000005,164001,send
0.6560000000000005,82001,transmit
0.6580000000000005,82001,ack
0.6580000000000005,165001,send
0.6580000000000005,166001,send
0.6640000000000005,83001,transmit
0.6660000000000005,83001,ack
0.6660000000000005,167001,send
0.6660000000000005,168001,send
0.6720000000000005,84001,transmit
0.6740000000000005,84001,ack
0.6740000000000005,169001,send
0.6740000000000005,170001,send
0.6800000000000005,85001,transmit
0.6820000000000005,85001,ack
0.6820000000000005,171001,send
0.6820000000000005,172001,send
0.6880000000000005,86001,transmit
0.6900000000000005,86001,ack
0.6900000000000005,173001,send
0.6900000000000005,174001,send
0.6960000000000005,87001,transmit
0.6980000000000005,87001,ack
0.6980000000000005,175001,send
0.6980000000000005,176001,send
0.7040000000000005,88001,transmit
0.7060000000000005,88001,ack
0.7060000000000005,177001,send
0.7060000000000005,178001,send
0.7120000000000005,89001,transmit
0.7140000000000005,89001,ack
0.7140000000000005,179001,send
0.7140000000000005,180001,send
0.7200000000000005,90001,transmit
0.7220000000000005,90001,ack
0.7220000000000005,181001,send
0.7220000000000005,182001,send
0.7280000000000005,91001,transmit
0.7300000000000005,91001,ack
0.7300000000000005,183001,send
0.7300000000000005,184001,send
0.7360000000000005,92001,transmit
0.7380000000000005,92001,ack
0.7380000000000005,185001,send
0.7380000000000005,186001,send
0.7440000000000005,93001,transmit
0.7460000000000006,93001,ack
0.7460000000000006,187001,send
0.7460000000000006,188001,send
0.7520000000000006,94001,transmit
0.7540000000000006,94001,ack
0.7540000000000006,189001,send
0.7540000000000006,190001,send
0.7600000000000006,95001,transmit
0.7620000000000006,95001,ack
0.7620000000000006,191001,send
0.7620000000000006,192001,send
0.7680000000000006,96001,transmit
0.7700000000000006,96001,ack
0.7700000000000006,193001,send
0.7700000000000006,194001,send
0.7760000000000006,97001,transmit
0.7780000000000006,97001,ack
0.7780000000000006,195001,send
0.7780000000000006,196001,send
0.7840000000000006,98001,transmit
0.7860000000000006,98001,ack
0.7860000000000006,197001,send
0.7920000000000006,99001,transmit
0.7940000000000006,99001,ack
0.7940000000000006,198001,send
0.8000000000000006,100001,transmit
0.8020000000000006,100001,ack
0.8020000000000006,199001,send
0.8080000000000006,101001,transmit
0.8100000000000006,101001,ack
0.8100000000000006,200001,send
0.8160000000000006,102001,transmit
0.8180000000000006,102001,ack
0.8180000000000006,201001,send
0.8240000000000006,103001,transmit
0.8260000000000006,103001,ack
0.8260000000000006,202001,send
0.8320000000000006,104001,transmit
0.8340000000000006,104001,ack
0.8340000000000006,203001,send
0.8400000000000006,105001,transmit
0.8420000000000006,105001,ack
0.8420000000000006,204001,send
0.8480000000000006,106001,transmit
0.8500000000000006,106001,ack
0.8500000000000006,205001,send
0.8560000000000006,107001,transmit
0.8580000000000007,107001,ack
0.8580000000000007,206001,send
0.8640000000000007,108001,transmit
0.8660000000000007,108001,ack
0.8660000000000007,207001,send
0.8720000000000007,109001,transmit
0.8740000000000007,109001,ack
0.8740000000000007,208001,send
0.8800000000000007,110001,transmit
0.8820000000000007,110001,ack
0.8820000000000007,209001,send
0.8880000000000007,111001,transmit
0.8900000000000007,111001,ack
0.8900000000000007,210001,send
0.8960000000000007,112001,transmit
0.8980000000000007,112001,ack
0.8980000000000007,211001,send
0.9040000000000007,113001,transmit
0.9060000000000007,113001,ack
0.9060000000000007,212001,send
0.9120000000000007,114001,transmit
0.9140000000000007,114001,ack
0.9140000000000007,213001,send
0.9200000000000007,115001,transmit
0.9220000000000007,115001,ack
0.9220000000000007,214001,send
0.9280000000000007,116001,transmit
0.9300000000000007,116001,ack
0.9300000000000007,215001,send
0.9360000000000007,117001,transmit
0.9380000000000007,117001,ack
0.9380000000000007,216001,send
